sequence_ID,Frame,FPS,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mediapipeResult,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
8,Frame_4,25.862068965516684,0.505307,0.3549,0.002226,0.00127,0.001656,4.9e-5,0,0,0.235256,0.292968,0.127038,0.205327,0.013922,0.233066,0.287038,0.036696,0.098729,0.06601,0.731511,0.415362,0.003269,0.001311,1.14e-4,0.001207,0.4646,0.00108,2872,0.409753,0.004013,9.4e-4,2.03e-4,4.08e-4,0.001851,4.94e-4,0.00283,0.003485,0.004795,0.00312,0.063214,0.002441,0.013337,0.025206,0.006656,0.002114,3.1e-5,3.3e-5,8.1e-5,0.002371,3.37e-4,2.75e-4,0,1e-6
8,Frame_5,25.862068965516684,0.511817,0.356329,0.002204,0.001265,0.001677,4.8e-5,0,0,0.235219,0.293566,0.129103,0.208989,0.013996,0.233656,0.287671,0.036932,0.098203,0.065125,0.732666,0.418623,0.00331,0.001319,1.18e-4,0.001213,0.471834,0.001177,2873,0.411263,0.003418,9.88e-4,1.96e-4,3.82e-4,0.002049,4.59e-4,0.003187,0.003772,0.003977,0.002975,0.074238,0.002697,0.012123,0.024403,0.005673,0.001867,2.7e-5,2.9e-5,7.9e-5,0.00226,2.96e-4,2.54e-4,0,1e-6
8,Frame_6,25.862068965516684,0.518974,0.36127,0.00223,0.001267,0.001659,4.8e-5,0,0,0.235019,0.295924,0.131073,0.211879,0.01427,0.234,0.287717,0.037297,0.097883,0.065292,0.733368,0.422326,0.003338,0.001321,1.3e-4,0.001155,0.486842,0.001314,2874,0.415869,0.003298,9.54e-4,1.55e-4,2.93e-4,0.002685,4.46e-4,0.003529,0.004287,0.003304,0.002414,0.094064,0.00297,0.008653,0.020964,0.003864,0.001587,2.8e-5,3.1e-5,8.5e-5,0.002143,3.01e-4,2.62e-4,0,1e-6
8,Frame_7,25.862068965516684,0.521865,0.366832,0.002228,0.001262,0.001635,4.8e-5,0,0,0.236226,0.296975,0.134249,0.215919,0.015321,0.219989,0.278568,0.039961000000000003,0.095847,0.064226,0.730157,0.424153,0.003321,0.001335,1.3e-4,0.0012,0.487063,0.001256,2875,0.417387,0.003382,8.92e-4,1.75e-4,3.31e-4,0.002651,4.54e-4,0.003461,0.004369,0.003331,0.002281,0.092416,0.002791,0.00884,0.019854,0.004041,0.001636,2.9e-5,3.1e-5,9e-5,0.002187,3.1e-4,2.7e-4,0,1e-6
8,Frame_8,25.862068965516684,0.519558,0.364581,0.00233,0.001287,0.001646,4.9e-5,0,0,0.237256,0.299776,0.13521,0.217725,0.015523,0.217351,0.276262,0.040306,0.095296,0.063766,0.729631,0.42529,0.003287,0.001319,1.33e-4,0.001218,0.491869,0.001268,2876,0.416213,0.003406,9.07e-4,1.87e-4,3.44e-4,0.002674,4.05e-4,0.003601,0.004725,0.003364,0.002146,0.090025,0.003023,0.008704,0.019407,0.003888,0.001547,3e-5,3.1e-5,9.8e-5,0.002047,3.12e-4,2.71e-4,0,1e-6
8,Frame_9,25.862068965516684,0.510727,0.362915,0.002411,0.00132,0.001632,5.9e-5,0,0,0.236593,0.300012,0.136905,0.220046,0.016108,0.209219,0.26909,0.041158,0.093122,0.062458,0.727566,0.424872,0.003207,0.001272,1.64e-4,0.001078,0.51431,0.001444,2877,0.417665,0.005052,0.001205,1.41e-4,2.48e-4,0.003025,3.23e-4,0.004617,0.007116,0.004588,0.002377,0.0667,0.003454,0.007829,0.018355,0.003026,0.001268,4.8e-5,4.8e-5,1.09e-4,0.001823,3.94e-4,3.26e-4,0,1e-6
8,Frame_10,25.862068965516684,0.49885,0.357154,0.002476,0.001415,0.001677,5.9e-5,0,0,0.23865,0.299185,0.137685,0.22017,0.016924,0.200895,0.261628,0.042469,0.092253,0.062355,0.725477,0.426279,0.003174,0.001273,1.63e-4,0.001101,0.511543,0.001361,2878,0.414692,0.005246,0.001208,1.49e-4,2.61e-4,0.002846,3.08e-4,0.004548,0.007212,0.004817,0.002392,0.060704,0.003472,0.008049,0.018236,0.003126,0.001284,5.2e-5,5.2e-5,1.14e-4,0.001852,4.18e-4,3.43e-4,0,1e-6
8,Frame_11,25.862068965516684,0.48652,0.347855,0.002517,0.00151,0.00177,6.7e-5,0,0,0.239165,0.297876,0.139017,0.221756,0.017062,0.197824,0.258966,0.042656,0.090425,0.061331,0.721996,0.424669,0.003128,0.001256,1.91e-4,0.001,0.52516,0.001496,2879,0.415239,0.007205,0.00145,1.16e-4,2.01e-4,0.00313,2.78e-4,0.00533,0.009719,0.006185,0.002633,0.049061,0.003621,0.007426,0.017962,0.002562,0.001118,7.3e-5,7.1e-5,1.19e-4,0.001831,4.84e-4,3.85e-4,0,1e-6
8,Frame_12,25.862068965516684,0.466419,0.335804,0.002698,0.001732,0.001865,6.7e-5,0,0,0.240729,0.299347,0.144227,0.227769,0.016828,0.199151,0.26022,0.042167,0.087472,0.058994,0.719045,0.425638,0.003129,0.001252,1.8e-4,0.001103,0.522158,0.001315,2880,0.411142,0.006754,0.001401,1.34e-4,2.3e-4,0.002713,2.73e-4,0.005055,0.009033,0.006371,0.002654,0.043756,0.00351,0.00799,0.018854,0.002852,0.001134,7.2e-5,6.8e-5,1.28e-4,0.001798,5.03e-4,3.86e-4,0,1e-6
8,Frame_13,25.862068965516684,0.424528,0.301089,0.003712,0.002028,0.002122,7e-5,0,0,0.237454,0.296481,0.159382,0.246698,0.016189,0.197776,0.261802,0.041625,0.077981,0.051201000000000003,0.703162,0.410528,0.003179,0.001284,1.71e-4,0.001209,0.521409,0.001205,2881,0.403777,0.00747,0.001698,1.12e-4,1.92e-4,0.002394,2.89e-4,0.004822,0.008207,0.008368,0.003453,0.02981,0.003305,0.009679,0.026238,0.003331,0.001244,8.3e-5,7.5e-5,1.19e-4,0.001511,6.24e-4,4.38e-4,0,1e-6
8,Frame_14,25.862068965516684,0.361918,0.242058,0.00465,0.003334,0.003302,4.3e-5,0,0,0.220126,0.28874,0.210652,0.308859,0.016018,0.193725,0.26571,0.045142,0.06083,0.033756,0.661337,0.349261,0.003878,0.001562,5.8e-5,0.001944,0.492401,8.22e-4,2882,0.459795,0.001546,0.002906,1.54e-4,2.25e-4,0.001045,4.21e-4,0.001984,0.001322,0.00371,0.005812,0.047742,0.004254,0.023745,0.04254,0.016956,0.003634,2.4e-5,2.6e-5,7e-5,5.21e-4,2.51e-4,2.95e-4,0,1e-6
8,Frame_15,25.862068965516684,0.237135,0.12943,0.008054,0.006195,0.007096,5.6e-5,0,0,0.183836,0.275728,0.260054,0.38437,0.014175,0.177951,0.262735,0.043064,0.047988,0.02014,0.606542,0.266451,0.00458,0.001813,4.8e-5,0.001676,0.443866,9.55e-4,2883,0.358601,0.003285,0.00395,1.3e-4,2e-4,0.001058,4.69e-4,0.001244,0.001026,0.011537,0.010692,0.018842,0.004001,0.047428,0.073369,0.050276,0.01102,5.5e-5,5e-5,7.2e-5,3.86e-4,0.001017,9.32e-4,0,1e-6
