value,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,X_neutral
centre,0.06787644927198397,0.05927707689138615,0.19308582657363121,0.20687774842123804,0.208387604403695,9.910323118335508e-5,3.540880736265044e-7,3.0055533877432254e-7,0.19000288140670119,0.17980505860041357,0.22488422985352263,0.24650677609603622,0.07804195803268907,0.22010945000658522,0.2272822776711225,0.08330193959197245,0.12199548456317068,0.10333156133062697,0.4103241718575347,0.36252077184920733,0.012782761534466898,0.013951460341947683,1.524545938730769e-4,0.011029535527671806,0.42860771132865844,0.00396949518129041,0.2309698772101455,0.02438690523884585,0.02647972842241169,0.002701070061321061,0.0034049429275225763,0.006201570672015205,0.01208030002580356,0.00543587231337886,0.006250549928427215,0.04153152541515795,0.03595279604579476,0.17807450873057148,0.0053202493472358295,0.05895491824460546,0.07175616472016885,0.03632163835000976,0.008476854517867482,0.034283223258297496,0.03317992850779269,0.004466485303554865,0.006317499486825436,0.006412010914311412,0.006536951541077384,4.899182976406516e-7,5.36180265751189e-7,2.1336145288254234e-6
PC1,0.005732140037875751,0.004730074447008925,-0.01798865228355152,-0.013832681397785561,-0.010538328542958652,1.6248972356411267e-5,4.437691670204883e-8,7.187554136452451e-8,0.013511467745883101,0.009779136029701476,0.016441379583706252,0.012808312678754711,-0.001337352095259374,0.00467621883953,0.003518476911049779,-0.0031560909998338666,-0.0092685168257384265,-0.007444086278188856,0.00770832424610321,0.007412135256951292,1.4994587233171269e-4,-0.0011515351632591672,2.447744577708629e-5,-0.0014530357868594566,-0.031199772760519478,-9.256118910137663e-6,-0.027329535511090686,0.004273526317628319,0.0017507131796943775,8.166756547688874e-4,0.0012280948758796352,-2.220481432081151e-4,9.341399663862188e-4,3.2686595134448726e-4,9.9910836604349e-4,0.010892318177015059,0.004881695406750972,-0.03744350723208412,3.843604175897207e-4,-0.005092686581036487,-0.007962567411289239,0.002359044017040646,0.003185217865617429,0.017037098852446315,0.015321194761993779,0.0018689194669888837,0.0029063339477691155,0.00317303646942878,0.0032308800383807953,1.364617056958476e-7,1.6230160077609444e-7,3.437941029776113e-7
PC2,-0.0017382645350842122,0.003406456549084449,-0.007591481892265669,0.006067787824317186,-0.002562566623810816,-1.4821168795997475e-5,-1.5398317602440102e-8,-4.11415818100967e-8,0.01906466684959235,0.028005279250642712,0.026486578383602435,0.03624821519380876,-0.012416832881142932,0.015615687500801735,0.013459374515420336,-0.013970077684240006,-0.014575937921947968,-0.019114079654055285,0.00865801671910987,0.009314405547692476,-0.0012690512328067814,-0.0029976126391953882,-2.358318663932837e-5,-6.243232889025014e-4,-0.033987799749396246,-2.3354386661925488e-4,-0.014963442515173467,-0.004233177741284965,-0.001891500083053332,0.001493766817575465,0.0020870142422572562,-4.4623916152615765e-4,-5.996877154481437e-4,-0.001143480372544695,-0.0014451436501576509,-0.0053600337205218455,-1.2296710799839227e-4,0.006109484228950437,0.001672834021694504,0.006915621443325281,0.0025293446421672215,0.01223031473105897,0.004171377743117925,-0.007804857316289836,-0.007035631014976303,-2.0091469519805972e-4,0.0011118400233424467,5.814929086990628e-4,5.913937710965063e-4,1.358775851130954e-7,-3.331468931428104e-8,-1.0311375124973691e-7
PC3,0.02511901531105041,0.02246868209190621,-0.052190415414556705,-0.05776418435945018,-0.05865980229727505,2.819590904219557e-6,-6.800938756937105e-8,-8.274040177687772e-8,0.01659511834104217,0.020656794258429173,5.653079751423835e-4,0.00225183842994811,-0.0014644851754646744,-0.011687721378404048,-0.011480975779619082,-3.572520064098289e-4,0.0034227772378021557,0.001254529168472774,0.036793922494776296,0.03918527402420455,-0.0038256439539251634,-0.00394010677493901,6.024436324814744e-6,2.0377185556026816e-4,0.007584928844202032,-5.519877422054892e-4,0.018100959934079102,1.2447131632395173e-4,0.0030378379124023644,-6.940166845758748e-4,-0.001139054180010746,-2.2248940487349243e-4,-5.762035447249578e-4,2.825372601911764e-4,2.1094122483604708e-4,-0.001237538900576332,0.0019996388820757555,-0.004281610369191483,-6.349596420815446e-5,-0.0022595790611463656,-2.6449377926218313e-4,-0.0028662211225265258,-0.0024698367941507426,0.0022782419705894134,0.0027922114554981216,-8.399289428973357e-4,-0.002082180093786592,-0.0011328370455282928,-8.741804762722002e-4,-1.7884365652911407e-7,-4.5553729652461044e-8,1.0407718840890028e-8
PC4,-0.016048053576272894,-0.01709395729283496,0.033655416803302335,0.03575871767345364,0.033452242133310606,7.551886804762476e-6,-3.718179803561364e-8,-3.5483692923818545e-8,0.019758954406053207,0.017447278704838524,0.040940063648355285,0.038596749463897025,-0.00449172504768719,-0.0035279696093813376,-0.004418824273186501,-0.004698779154953151,-0.024625804181484027,-0.02199644712040458,-0.01307806749040376,-3.0514497778424775e-4,-0.001993797485979943,-5.66511393501283e-4,1.054631956033292e-5,5.382560543947055e-4,0.02033233077317478,-5.214915355526774e-4,-6.622768032530545e-4,0.002784185257803043,0.005582556980260618,-0.001537348990818469,-0.0023794197170105714,8.428866752214745e-4,-0.0028508290161750978,5.079511683036052e-4,4.356405412887263e-4,-0.0021752921090443553,0.0015688062887606702,-0.018648756791470596,-0.0012558966688549131,-0.010425910247232502,-0.005732390448672692,-0.008633932709694656,-0.00396489647366286,0.003453513103004001,0.004339523774113159,-7.937582556061964e-4,-0.0022584919912605537,4.470393777318559e-4,8.338604545792983e-4,-1.1488160333702672e-7,-5.974895544742223e-8,-3.699726655221851e-7
PC5,-0.0042668090122085,-0.010337401457985139,0.008032975354075777,8.956827380701364e-4,0.021783862551030226,-8.67220007187572e-7,6.847864611442977e-8,8.531567698894806e-8,0.020520164044861983,0.008566428963923522,0.021053946719183984,0.016409197678453634,0.01399427982772692,-0.028857767887621875,-0.03409173988958395,0.012645959519544777,-0.01480834406500067,-0.007549104146851798,0.00905806464946104,0.013564184824285095,-9.85623757608709e-4,1.8122821376557213e-4,-7.535614990596539e-6,6.774468122318143e-4,-0.007674228941824921,3.252203452641178e-4,0.001569364259292438,2.361020514878744e-4,-0.005456580985065275,7.357429976167952e-4,4.275384158728031e-4,-0.0016342190425023024,0.002530139818412271,-5.051107976873459e-4,-1.2827391897681284e-4,0.010624594810887495,-0.0010719662992338334,-0.005937700340878224,-0.0019057955349724082,0.017424651725880105,0.013949841759647561,0.004439409450475563,-0.004573858813241573,5.558020366550105e-5,-0.002729731106280663,0.0011352179113714902,-0.0021153021122460205,-0.0026011758308371728,-0.003210797169235244,-1.2608216626763178e-7,3.775820712032546e-8,3.6667646814825654e-7
PC6,4.38814720697537e-4,0.005314538917426785,0.0021883726917978114,0.004143974273478424,-0.0033879947796823674,-3.757727806576348e-6,-6.495733638135384e-9,-6.690252330904672e-8,-9.162376112280329e-4,0.001733973646906212,0.003596459012204159,0.007313194572583616,0.02185949308621057,-0.0421444594802134,-0.039035253734620454,0.022797856142860576,-0.0022075013443232368,-0.0030535504356910283,-0.0033508533190988385,-0.009426094002588026,-2.635776268033618e-4,0.0012420548627434783,-3.776578916082182e-6,0.005067376946151835,5.015431022715277e-4,-0.0014908578681722367,5.54109733916417e-5,0.001250957284252475,0.006688680925546656,0.0018513503891972557,0.0027660998424899955,0.00128337960456439,-0.0016567691954038379,3.564626389886247e-4,-3.937128978241283e-4,-0.006951574531717442,0.004859942138875715,1.7639277592406156e-4,0.0020105520179971043,-0.006557246237348735,-0.006165733047928366,0.007852054051258274,0.003862447595015679,-0.003622782295389318,-3.2128289818476326e-4,-8.07264393754573e-4,0.0022673465606285158,9.453856488178723e-4,0.001796976878046035,8.71885284124851e-8,1.739468160225202e-8,-1.5428980862164762e-7
PC7,-0.017274225359927432,-0.004387171001217102,0.014653536774279373,0.011094870408518608,-5.027436001850608e-4,1.9263120380738307e-6,-8.103027959426152e-8,-8.389259470881219e-9,-0.006241184715960687,0.01060401090156014,-0.02120523798231328,-0.002289286824193354,-0.004906287026326078,-3.602545335465382e-4,-0.006750008082775253,-0.0062615430044813646,0.013269107722724854,8.155473195714384e-4,0.019691004312771668,-0.010179029833454112,5.614761808091e-4,-0.0012562065281445343,1.4792840566800292e-5,-0.0015479159058485535,-0.003399726591938584,-0.0013432842372301755,-0.0027348136163158443,-0.00406629646492306,-0.005608232604763249,0.002704778581700361,0.0034163422023389543,-0.0014366129406563485,-0.0012734283680785707,4.55754960459503e-4,5.037230969096677e-4,0.002540658109464592,0.007916202757670394,-0.05529044151420429,-0.003489691475684949,-0.015060527594512062,-0.016194227884231537,-1.293311156186361e-5,-0.0013280443495077294,-0.005649437185460375,-0.005604360763850258,0.001156937013009015,1.3789910097452394e-4,-0.003296743071128919,-0.0039019447821525954,1.2318162967922231e-8,2.782078615701789e-8,-3.506336728486128e-7
PC8,0.0035671805370656217,0.004753984065057162,0.032855348620384875,0.010244190190280753,0.023590424013965657,3.585597564864993e-7,1.0986311748854475e-7,2.6478931896891093e-8,0.01403666119451737,0.01409119326188148,0.00440880749561875,-4.0149994515636136e-4,0.0029684128836936293,-0.0046159435115211474,0.004026475312042038,0.005084545260755597,7.139620916218167e-4,0.0043641361006658014,0.019283419285920738,0.015277743228729808,-0.004745835803617356,-0.002148250202335754,6.093101918827781e-6,-0.004056022735164976,0.040313425715807066,3.2074196590323455e-4,0.041608460054892535,0.0029848242295885574,-0.003745360224229398,6.163969915731815e-5,9.527774886884238e-4,3.7701007256440153e-4,-0.0027367448542196327,-2.3821327234376926e-4,3.982854489094161e-4,-7.762933099463573e-4,-0.018898998532843485,0.020067419697783122,9.103863843993267e-4,-0.013412321211330463,-0.013354383471691048,-0.00900143958079083,0.0027544676330398753,-0.003964583290772618,-0.006978098169115038,-9.361182173325458e-4,0.002955238132304397,-0.001139559824856379,-0.0020655723996867523,2.3096715759427976e-7,3.484312379248798e-8,2.2056028669126792e-7
PC9,-0.002517852621802252,-0.002781040531486292,-0.00938860546795309,-0.005194613668400768,-0.0070250130436010465,8.797676524051646e-6,-1.0479706193298543e-8,-1.076931330163484e-8,-0.020010597506785063,-0.013449948540383614,-0.011871964373929756,-0.010967934940244234,-0.005745147312422296,-0.007394485340720944,0.005068567212183609,0.002057696656149406,-0.006218961448990001,-0.007422229930756051,-0.006110248472789483,-0.02378749995108075,-0.009580518197235401,0.0010373239185248828,-4.80974748610186e-6,-0.0012365539996072462,-0.017968461982191954,2.063867453561107e-4,-0.0235199551254018,-2.023362245929018e-4,-4.2378427757231487e-4,4.894327508666151e-5,3.5003340413938247e-4,-9.368794439714935e-4,-0.010988654325389605,-2.9056965038747924e-4,1.1259332283545073e-4,0.006287489256718563,0.002503401685819288,-0.02109074146475713,0.0012671719637483178,0.00931851252240964,0.0071614691329796535,3.360916119931933e-4,-0.0011780169546149633,-0.001068855928802083,-0.0010395594354885849,-0.003199784352871287,-1.8299042922565326e-4,-6.860467267619274e-4,2.352913879738491e-4,-1.2589686266173314e-8,1.2477763209198886e-7,1.843162324238461e-7
